Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2511,Wheat and products,2010,-4542,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2511,Wheat and products,2011,7888,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1961,392,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1962,191,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1963,75,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1964,903,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1965,-372,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1966,9,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1967,-166,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1968,-1271,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1969,-909,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1970,1117,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1971,-240,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1972,65,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1973,984,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1974,1561,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1975,-629,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1976,-229,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1977,-686,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1978,-1011,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1979,364,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1980,1006,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1981,-267,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1982,-1191,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1983,60,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1984,-914,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1985,-1623,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1986,-1611,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1987,545,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1988,2913,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1989,529,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1990,942,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1991,-575,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1992,-717,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1993,1141,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1994,196,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1995,-183,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1996,181,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1997,-207,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1998,-614,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,1999,722,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,2000,-29,S,Standardized data
