"measuredItemCPC","measuredItemCPC_description","itemGroup","N"
"01701","Beans, dry","pulses",11126
"01703","Chick peas, dry","pulses",5993
"01704","Lentils, dry","pulses",6675
"01705","Peas, dry","pulses",8811
"01709.90","Pulses n.e.","pulses",9968
"01702","Broad beans and horse beans, dry","pulses",5387
"01709.01","Vetches","pulses",2706
"01706","Cow peas, dry","pulses",2568
"01709.02","Lupins","pulses",1677
"01708","Bambara beans, dry","pulses",386
"01707","Pigeon peas, dry","pulses",1694
