"updatedSUA2013.geographicAreaFS";"updatedSUA2013.measuredElementFS";"updatedSUA2013.measuredItemFS";"updatedSUA2013.timePointYears";"updatedSUA2013.Value";"updatedSUA2013.flagFaostat";"stockDataFrom2000.geographicAreaM49";"stockDataFrom2000.measuredElement";"stockDataFrom2000.measuredItemCPC";"stockDataFrom2000.timePointYears";"stockDataFrom2000.deltaStocks";"stockDataFrom2000.flagObservationStatus";"stockDataFrom2000.flagMethod";"openingStockData.flagObservationStatus_5113";"openingStockData.flagMethod_5113";"openingStockData.geographicAreaM49";"openingStockData.measuredElement";"openingStockData.measuredItemCPC";"openingStockData.timePointYears";"openingStockData.openingStocks";"openingStockData.Valid";"openingStockData.Protected";"openingStockData.deltaStocksBasedonOpening";"openingStockData.flagdeltaStocksBasedonOpening_5113";"productionData.geographicAreaM49";"productionData.measuredItemCPC";"productionData.timePointYears";"productionData.production";"productionData.flagObservationStatus_5510";"productionData.flagMethod_5510";"totalTradeData.geographicAreaM49";"totalTradeData.measuredElementTrade";"totalTradeData.measuredItemCPC";"totalTradeData.timePointYears";"totalTradeData.Value";"countryGroup.group_code";"countryGroup.group_name";"countryGroup.country_code";"countryGroup.country_name"
"10";"71";"15";"1999";-3335042,16;"B";"36";"5071";"0111";"2013";-1753927,64;"I";"b";"I";"e";"36";"5113";"0111";"2010";3345668,305363;TRUE;FALSE;74491,6789790001;0;"36";"0111";"2016";22274514;"";"q";"36";"5610";"0111";"2016";990,64332;"AFR";"Africa";"DZA";"Algeria"
"10";"71";"15";"1998";-2350547,9;"B";"36";"5071";"0111";"2012";-268432,94;"I";"b";"I";"e";"36";"5113";"0111";"2011";3420159,984342;TRUE;FALSE;814651,742236;0;"36";"0111";"2015";23742560;"";"q";"36";"5610";"0111";"2015";1218,43954;"AFR";"Africa";"AGO";"Angola"
"10";"71";"15";"1997";4423453,6;"B";"36";"5071";"0111";"2011";3852915,91;"I";"b";"I";"e";"36";"5113";"0111";"2012";4234811,726578;TRUE;FALSE;385432,855084;0;"36";"0111";"2014";25303037;"";"q";"36";"5610";"0111";"2014";1263,29;"AFR";"Africa";"BEN";"Benin"
"10";"71";"15";"1996";-5385972,17;"B";"36";"5071";"0111";"2010";-920237,86;"I";"b";"I";"e";"36";"5113";"0111";"2013";4620244,581662;TRUE;FALSE;-1088991,531619;0;"36";"0111";"2013";22855576;"";"-";"36";"5610";"0111";"2013";1688;"AFR";"Africa";"BWA";"Botswana"
"10";"71";"15";"1995";-4412108,5;"B";"36";"5071";"0111";"2009";1328410,64;"I";"b";"I";"e";"36";"5113";"0111";"2014";3531253,050043;TRUE;FALSE;378043,586506;0;"36";"0111";"2012";29905009;"";"p";"36";"5610";"0111";"2012";1485;"AFR";"Africa";"BFA";"Burkina Faso"
"10";"71";"15";"1994";7188313;"B";"36";"5071";"0111";"2008";5630201,8;"I";"b";"I";"e";"36";"5113";"0111";"2015";3909296,636549;TRUE;FALSE;NA;0;"36";"0111";"2011";27410076;"";"-";"36";"5610";"0111";"2011";1133;"AFR";"Africa";"BDI";"Burundi"
